track,fixture_id,fixture_date,league_id,home,away,result,market,model_prob,model_prob_raw,implied_prob,edge,decimal_odds,ev,stake,won,pnl
Poisson,1499273,2026-02-23,131,UAI Urquiza,Deportivo Camioneros,0-0,ht_over_0_5,0.7272,0.2659,0.5988,0.1284,1.67,0.1901,20.0,False,-20.0
Poisson,1506123,2026-02-23,299,Zamora FC,Deportivo La Guaira,1-1,ht_over_0_5,0.7334,0.843,0.6667,0.0667,1.5,0.0818,17.22,True,8.18
Poisson,1522660,2026-02-23,611,Forte FC,Vitória ES,1-1,1x2_D,0.3774,0.3693,0.2941,0.0833,3.4,0.238,10.44,True,23.8
Poisson,1391768,2026-02-22,219,SKU Amstetten,WSPG Wels,1-1,1x2_H,0.6927,0.6872,0.5988,0.0939,1.67,0.1336,20.0,False,-20.0
Poisson,1503673,2026-02-26,130,Godoy Cruz,Deportivo Moron,0-1,1x2_H,0.7685,0.7677,0.4762,0.2923,2.1,0.5715,20.0,False,-20.0
Poisson,1492146,2026-02-26,71,Gremio,Atletico-MG,2-1,over_2_5,0.6419,0.6679,0.5,0.1419,2.0,0.2516,20.0,True,19.0
Poisson,1497770,2026-02-26,13,Botafogo,Nacional Potosí,2-0,under_2_5,0.6435,0.7456,0.2632,0.3803,3.8,1.355,20.0,True,53.2
Poisson,1509694,2026-02-26,234,CD Olimpia,Atlético Choloma,3-0,under_2_5,0.5907,0.6345,0.3846,0.2061,2.6,0.4886,20.0,False,-20.0
Poisson,1502468,2026-02-26,10,Mexico,Iceland,4-0,under_2_5,0.5627,0.5807,0.4444,0.1183,2.25,0.2309,19.44,False,-19.44
Poisson,1514146,2026-02-26,16,Vancouver Whitecaps,CS Cartagines,2-0,under_2_5,0.5532,0.5709,0.3472,0.206,2.88,0.5412,20.0,True,35.72
Poisson,1515538,2026-02-26,3,FK Crvena Zvezda,Lille,0-1,under_2_5,0.6114,0.6567,0.5263,0.0851,1.9,0.1341,15.69,True,13.41
Poisson,1504136,2026-02-20,667,Sandefjord,Aalborg,4-0,over_2_5,0.6708,0.698,0.6061,0.0647,1.65,0.085,13.76,True,8.5
Poisson,1526220,2026-02-27,187,Nrb Beni Oulbene,CR Béni Thour,1-0,ht_over_0_5,0.7188,0.5863,0.6667,0.0521,1.5,0.0602,12.68,False,-12.68
Poisson,1385078,2026-02-22,286,Radnicki NIS,IMT Novi Beograd,2-1,under_2_5,0.6464,0.6943,0.5348,0.1116,1.87,0.1806,20.0,False,-20.0
Poisson,1395994,2026-02-27,109,Podbeskidzie,Chojniczanka Chojnice,2-2,over_2_5,0.6161,0.6411,0.5405,0.0756,1.85,0.1136,14.07,True,11.36
Poisson,1429618,2026-02-27,288,Magesi,Polokwane City,0-2,ht_over_0_5,0.6951,0.567,0.5988,0.0963,1.67,0.1376,20.0,True,12.73
Poisson,1394307,2026-02-27,80,Hoffenheim II,TSV 1860 München,1-2,1x2_A,0.5487,0.5353,0.4167,0.132,2.4,0.2784,20.0,True,26.6
Poisson,1415527,2026-02-27,310,Vllaznia Shkodër,Tirana,3-1,under_2_5,0.6458,0.7483,0.578,0.0677,1.73,0.0936,13.5,False,-13.5
Poisson,1389328,2026-02-21,62,Saint Etienne,Laval,2-1,under_2_5,0.6243,0.6706,0.5263,0.098,1.9,0.1581,18.49,False,-18.49
